client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d,monthly_amount_usd,mrr_usd,hubspot_deal,match_confidence
Grupo Avila,5,Banesco,1,1,0,3802,0,750,,Grupo Avila,high
Granos Sagrados,1,Banesco,1,1,0,139,0,650,650,Granos Sagrados Trading Corp - New Deal,high
ANV,1,Banesco,1,2,0,696,0,,,,no_won_deal
Dimassi,1,Banesco,1,2,0,3567,0,1200,1500,Di Massi,high
CONSORCIO MEDISOLUTIONS,7,Banesco,5,10,0,5843,0,379,,Grupo Medisolutions,high
NETUNO,3,Mercantil,3,10,10,859713,205893,1499,,NetUno,high
FARMABIEN,1,Mercantil,1,13,12,113759,97627,1000,,Farmabien,high
Gruporica,2,Mercantil,2,33,20,134414,58321,449,,Grupo Rica,high
Cines unidos,2,Mercantil,2,6,4,337095,29930,225,,Cines Unidos,high
CAMOR INTERNACIONAL,9,Mercantil,6,10,6,116174,29550,1100,,Camor International,high
INVERSIONES PAD 21,8,Mercantil,5,10,5,70365,25948,750,,Inversiones PAD 21,high
"Estar Seguros, S.A.",1,Mercantil,1,2,2,107401,19280,549,,"Estar Seguros, S.A.",high
Supermercados Rio Vida,3,Mercantil,1,3,2,152919,10600,250,,Supermercados RioVida,high
Protinal,12,Mercantil,11,24,13,11166,9479,600,600,Protinal Proagro,high
COSEIMPA,2,Mercantil,2,23,9,26563,7338,500,,Coseimpa,high
KAIZEN,10,Mercantil,10,10,10,37835,6956,3000,,Kaizen,high
AVICOLA LAS TUNAS,2,Mercantil,2,5,4,16638,6951,799,799,Alimentos Las Tunas C.A,high
Grupo Gipsy,16,Mercantil,16,35,20,56656,6746,1000,,Grupo Gipsy,high
Grupo Landa,8,Mercantil,8,21,16,53709,6265,375,,Grupo Landa,high
Procesadora Marsoca,3,Mercantil,2,3,2,20347,5787,350,,Marsoca,high
Corporación Angles,1,Mercantil,1,12,10,21725,5676,349,,Corporación Angles,high
Tealca,1,Mercantil,1,3,3,302538,4793,300,,Tealca,high
Socado Coffee Bar,1,Mercantil,1,10,7,9674,4593,400,,Socado,medium
"Corporación JSL, C.A.",1,Mercantil,1,4,2,7908,3664,599,,Crustissimo,high
Maxy Sweet,5,Mercantil,4,10,4,4146,3405,315,450,Maxy Sweet (Grupo Da Silva),high
"Alimentos Alvarigua, c.a.",1,Mercantil,1,2,1,9511,3295,449,,Alvarigua,high
Comercializadora Tiares CA,1,Mercantil,1,5,5,9108,3204,350,350,Comercializadora Tiares,high
Corporación Tu Aliado Digital,3,Mercantil,3,11,4,3202,3195,1000,,Tu Aliado Venezuela,high
VIVA SUPERCENTRO,1,Mercantil,1,3,2,13455,2910,749,,Viva Supercentro,high
alimentosmunchy,1,Mercantil,1,3,2,11722,2809,1000,,Alimentos Munchy,high
MARCAS PROPIAS,2,Mercantil,2,13,9,2496,2492,1900,,Balú - Grupo Futura,high
Casagri de Lara,1,Mercantil,1,7,3,6650,2402,490,700,Casagri,high
ALIMENTOS LPRADO,2,Mercantil,2,3,2,13017,2348,999,,Alimentos L'Prado,high
PASTCA,1,Mercantil,1,2,2,2140,2140,349,,Paisa (Pasteurizadora Táchira),high
Centro Medico de Oncologia,1,Mercantil,1,2,1,4258,1988,455,650,Centro Medico de Oncologia - New Deal,high
APB GROUP,11,Mercantil,8,22,7,2372,1962,650,650,APB Group,high
MOTASA,4,Mercantil,3,5,4,5553,1915,350,,Motasa,high
ARMI,1,Mercantil,1,2,2,8484,1855,300,,Armi,high
Grupo Quo Vadis,1,Mercantil,1,3,3,4400,1662,349,,Quo Vadis Viajes,high
SEGVEN,1,Mercantil,1,3,3,4293,1585,849,849,Seguros Venezuela,high
Laboratorios Biotech,2,Mercantil,1,3,3,3942,1439,350,350,Laboratorios Biotech,high
Asoportuguesa,5,Mercantil,3,11,3,3980,1398,750,,ASOPORTUGUESA,high
Sizuca,1,Mercantil,1,5,4,9500,1317,350,,Sizuca,high
GRUPO MOLINA VIAJES,2,Mercantil,2,6,5,6377,1241,450,,Molina Viajes,high
Grupo Ramvall,5,Mercantil,4,8,5,3944,1129,600,900,Latinbien (Grupo Ramvall),high
Grupo Vertice,10,Mercantil,10,15,10,1124,1119,3150,,Mykonos,high
Valles del Turbio,2,Mercantil,2,5,3,6446,1028,250,250,Importadora VDT,high
Cencozotti,1,Mercantil,1,3,3,6408,1020,449,,Cencozotti,high
Prevaler,1,Mercantil,1,3,1,998,996,1150,,Prevaler,high
Arawak,1,Mercantil,1,1,1,2399,961,332.5,475,Alimentos Arawak,high
Pharmakum,2,Mercantil,2,4,3,3338,901,693,600,Laboratorios Pharmakum,high
suvica,3,Mercantil,1,3,1,2097,886,500,,Suvica,high
LABORATORIOS KIMICEG C.A,1,Mercantil,1,1,1,3057,871,449,,LABORATORIOS KIMICEG,high
Capitalfoods,2,Mercantil,2,5,3,1788,829,449,,Capital Foods,high
Megalabs,1,Mercantil,1,2,1,2830,825,800,,Megalabs,high
Laboratorios Elmor,3,Mercantil,1,2,2,7452,801,349,,Elmor,high
Grupo Leiros,13,Mercantil,1,1,1,688,646,699,,Grupo Leiros,high
Alimentos Global,5,Mercantil,2,2,2,1339,478,400,400,"Comercializadora de Alimentos Global M&P, C.A",high
"MangoCenter, C.A.",1,Mercantil,1,1,1,1441,426,649,,Mangocenter,high
"TAMAYO & CIA.,S.A.",2,Mercantil,2,3,3,2726,422,300,,Tamayo & CIA S.A,high
Grupo Ama de casa,3,Mercantil,1,3,1,6066,397,250,,Ama de Casa,medium
Grupo Nueve Once,2,Mercantil,1,2,1,2243,385,449,,Grupo Nueve Once,high
Grupo Del Este,6,Mercantil,3,3,3,1883,370,300,,Grupo del Este,high
Curiara,1,Mercantil,1,1,1,5074,351,350,,Curiara,high
Yummy,3,Mercantil,2,5,2,2134,335,500,,Yummy,high
FIVENCA,5,Mercantil,4,6,6,1895,330,500,,Fivenca,high
Bandecorp,7,Mercantil,1,2,2,895,299,1000,900,Bande Corp,high
Agroavicola del Llano,1,Mercantil,1,2,1,266,265,3500,,Agroavícola del Llano,high
Grupo cashea,1,Mercantil,1,5,3,2069,242,7000,7000,Cashea,high
Grupo Maralac,4,Mercantil,1,1,1,488,222,299,,Grupo Maralac,high
GRUPO DINAMO,5,Mercantil,3,6,3,1502,207,375,,Dinamo,high
TORONDOY,2,Mercantil,2,7,2,1225,184,800,1000,Lácteos Torondoy,high
Cruz Roja,1,Mercantil,1,9,4,412,182,612.5,875,Cruz Roja Venezolana,high
PINECO,4,Mercantil,1,1,1,508,126,450,,Pineco,high
Canguro Venezuela,11,Mercantil,1,3,1,42518,123,1350,,Canguro Venezuela,high
Sanu Corp,2,Mercantil,2,5,1,169,46,249,,Sanucorp,high
Noordzee Fantasie Luxury Group,1,Mercantil,1,2,2,41,41,,,,no_won_deal
Real Seguros S.A.,1,Mercantil,1,1,1,50,7,1000,1250,Real Seguros,high
GRUPO FUTURA,11,Mercantil,5,48,0,8660,0,1000,,Futura Retail,high
CONSORCIO MEDISOLUTIONS,7,Mercantil,6,19,0,1067,0,379,,Grupo Medisolutions,high
CALA,2,Mercantil,1,3,0,1341,0,100,,CALA,high
Hispana de Seguros,1,Mercantil,1,1,0,12108,0,599,,Hispana de Seguros,high
Ridery,1,Mercantil,1,1,0,40,0,,,,no_won_deal
ROBUST TIRES Finanzas Corporativas,1,Mercantil,1,1,0,910,0,455,650,Robust Tires,medium
Grupo Parawa,4,Mercantil,4,8,0,24563,0,350,,Grupo Parawa,high
EUROMERCADO C.A.,2,Mercantil,1,1,0,1,0,729,777.81,Euromercado,high
"Supermercados Luxor, C.A.",10,Mercantil,9,19,0,41810,0,750,,Supermercados Luxor,high
GRUPO MAR,1,Mercantil,1,1,0,642,0,450,,Casa MAR,high
goliiive,1,Mercantil,1,6,0,1284,0,350,,goliiive,high
Grupoforum,26,Mercantil,26,32,0,15758,0,2399,,Forum Supermayorista,high
Victum Legal,1,Mercantil,1,1,0,722,0,100,,VICTUM LEGAL,high
Grupo Canaima,176,Mercantil,1,1,0,462,0,750,,Grupo Canaima,high
Welf,1,Mercantil,1,2,0,78,0,349,,GSI Food,high
Grupo Abreu,23,Bancaribe,19,31,31,1212383,155422,2199,,Grupo Abreu,high
NETUNO,3,Bancaribe,1,7,4,13241,10820,1499,,NetUno,high
Canguro Venezuela,11,Bancaribe,3,6,4,19270,8533,1350,,Canguro Venezuela,high
Grupo NSM,14,Bancaribe,13,20,15,17156,5040,499,,Grupo NSM,high
Supermercados Rio Vida,3,Bancaribe,1,3,2,28449,4583,250,,Supermercados RioVida,high
Crixto Venezuela,1,Bancaribe,1,2,1,4083,3773,1999,1999,Crixto,high
Tealca,1,Bancaribe,1,2,2,40181,2992,300,,Tealca,high
corpoeureka,1,Bancaribe,1,5,3,8183,2191,,,,no_won_deal
PLAN B,23,Bancaribe,22,22,22,8297,1701,999,,Plan B,high
Real Seguros S.A.,1,Bancaribe,1,4,4,5157,1687,1000,1250,Real Seguros,high
SEGVEN,1,Bancaribe,1,11,10,4673,1491,849,849,Seguros Venezuela,high
Bandecorp,7,Bancaribe,7,10,8,3898,1347,1000,900,Bande Corp,high
INVERSIONES PAD 21,8,Bancaribe,5,18,10,11441,931,750,,Inversiones PAD 21,high
Grupo Landa,8,Bancaribe,4,9,8,7718,795,375,,Grupo Landa,high
APB GROUP,11,Bancaribe,8,16,8,1189,671,650,650,APB Group,high
Asoportuguesa,5,Bancaribe,3,8,5,2413,614,750,,ASOPORTUGUESA,high
alimentosmunchy,1,Bancaribe,1,3,2,2068,535,1000,,Alimentos Munchy,high
PASTCA,1,Bancaribe,1,3,2,3508,507,349,,Paisa (Pasteurizadora Táchira),high
Centro Medico de Oncologia,1,Bancaribe,1,2,1,961,506,455,650,Centro Medico de Oncologia - New Deal,high
