client,client_entities_total,bank,entities_at_bank,accounts_at_bank,active_accounts_at_bank,tx_total,tx_last_90d
Asoportuguesa,5,Mercantil,3,11,3,"3,980","1,398"
Sizuca,1,Mercantil,1,5,4,"9,500","1,317"
GRUPO MOLINA VIAJES ,2,Mercantil,2,6,5,"6,377","1,241"
Grupo Ramvall,5,Mercantil,4,8,5,"3,944","1,129"
Grupo Vertice ,10,Mercantil,10,15,10,"1,124","1,119"
Valles del Turbio,2,Mercantil,2,5,3,"6,446","1,028"
Cencozotti,1,Mercantil,1,3,3,"6,408","1,020"
Prevaler,1,Mercantil,1,3,1,998,996
Arawak,1,Mercantil,1,1,1,"2,399",961
Pharmakum,2,Mercantil,2,4,3,"3,338",901
suvica,3,Mercantil,1,3,1,"2,097",886
LABORATORIOS KIMICEG C.A,1,Mercantil,1,1,1,"3,057",871
Capitalfoods,2,Mercantil,2,5,3,"1,788",829
Megalabs,1,Mercantil,1,2,1,"2,830",825
Laboratorios Elmor,3,Mercantil,1,2,2,"7,452",801
Tesote Ventas,1,Mercantil,1,2,1,846,766
Grupo Leiros,13,Mercantil,1,1,1,688,646
Alimentos Global,5,Mercantil,2,2,2,"1,339",478
"MangoCenter, C.A.",1,Mercantil,1,1,1,"1,441",426
"TAMAYO & CIA.,S.A.",2,Mercantil,2,3,3,"2,726",422
Grupo Ama de casa,3,Mercantil,1,3,1,"6,066",397
Grupo Nueve Once,2,Mercantil,1,2,1,"2,243",385
Grupo Del Este ,6,Mercantil,3,3,3,"1,883",370
Curiara,1,Mercantil,1,1,1,"5,074",351
Yummy ,3,Mercantil,2,5,2,"2,134",335
FIVENCA,5,Mercantil,4,6,6,"1,895",330
Bandecorp,7,Mercantil,1,2,2,895,299
Agroavicola del Llano,1,Mercantil,1,2,1,266,265
Grupo cashea,1,Mercantil,1,5,3,"2,069",242
Grupo Maralac,4,Mercantil,1,1,1,488,222
GRUPO DINAMO,5,Mercantil,3,6,3,"1,502",207
TORONDOY,2,Mercantil,2,7,2,"1,225",184
Cruz Roja,1,Mercantil,1,9,4,412,182
PINECO,4,Mercantil,1,1,1,508,126
Canguro Venezuela,11,Mercantil,1,3,1,"42,518",123
Sanu Corp,2,Mercantil,2,5,1,169,46
Noordzee Fantasie Luxury Group,1,Mercantil,1,2,2,41,41
Real Seguros S.A.,1,Mercantil,1,1,1,50,7
GRUPO FUTURA,11,Mercantil,5,48,0,"8,660",0
CONSORCIO MEDISOLUTIONS,7,Mercantil,6,19,0,"1,067",0
CALA,2,Mercantil,1,3,0,"1,341",0
Hispana de Seguros,1,Mercantil,1,1,0,"12,108",0
Ridery,1,Mercantil,1,1,0,40,0
ROBUST TIRES Finanzas Corporativas,1,Mercantil,1,1,0,910,0
Grupo Parawa ,4,Mercantil,4,8,0,"24,563",0
EUROMERCADO C.A.,2,Mercantil,1,1,0,1,0
"Supermercados Luxor, C.A.",10,Mercantil,9,19,0,"41,810",0
GRUPO MAR,1,Mercantil,1,1,0,642,0
goliiive,1,Mercantil,1,6,0,"1,284",0
Tesote Developer,1,Mercantil,1,7,0,227,0
Grupoforum,26,Mercantil,26,32,0,"15,758",0
Victum Legal,1,Mercantil,1,1,0,722,0
Grupo Canaima,176,Mercantil,1,1,0,462,0
Welf,1,Mercantil,1,2,0,78,0
Grupo Abreu,23,Bancaribe,19,31,31,"1,212,383","155,422"
NETUNO,3,Bancaribe,1,7,4,"13,241","10,820"
Canguro Venezuela,11,Bancaribe,3,6,4,"19,270","8,533"
Grupo NSM,14,Bancaribe,13,20,15,"17,156","5,040"
Supermercados Rio Vida,3,Bancaribe,1,3,2,"28,449","4,583"
Crixto Venezuela,1,Bancaribe,1,2,1,"4,083","3,773"
Tealca,1,Bancaribe,1,2,2,"40,181","2,992"
corpoeureka,1,Bancaribe,1,5,3,"8,183","2,191"
PLAN B,23,Bancaribe,22,22,22,"8,297","1,701"
Real Seguros S.A.,1,Bancaribe,1,4,4,"5,157","1,687"
SEGVEN,1,Bancaribe,1,11,10,"4,673","1,491"
Bandecorp,7,Bancaribe,7,10,8,"3,898","1,347"
INVERSIONES PAD 21,8,Bancaribe,5,18,10,"11,441",931
Grupo Landa,8,Bancaribe,4,9,8,"7,718",795
APB GROUP,11,Bancaribe,8,16,8,"1,189",671
Asoportuguesa,5,Bancaribe,3,8,5,"2,413",614
alimentosmunchy,1,Bancaribe,1,3,2,"2,068",535
PASTCA,1,Bancaribe,1,3,2,"3,508",507
Centro Medico de Oncologia,1,Bancaribe,1,2,1,961,506
"Alimentos Alvarigua, c.a.",1,Bancaribe,1,2,1,"2,174",452
Capitalfoods,2,Bancaribe,2,4,2,"1,218",362
Procesadora Marsoca,3,Bancaribe,3,8,4,"3,545",357
Corporación Tu Aliado Digital ,3,Bancaribe,1,3,2,340,339
Laboratorios Elmor,3,Bancaribe,1,2,2,"3,786",325
CORPORACION BEL,17,Bancaribe,1,2,2,486,264
Casagri de Lara ,1,Bancaribe,1,2,2,685,224
Grupo Quo Vadis,1,Bancaribe,1,2,2,816,208
LABORATORIOS KIMICEG C.A,1,Bancaribe,1,2,2,675,193
ALIMENTOS LPRADO,2,Bancaribe,1,1,1,557,159
COSEIMPA,2,Bancaribe,2,3,2,757,159
Valles del Turbio,2,Bancaribe,1,3,2,892,114
Grupo Mimesa,3,Bancaribe,1,3,2,90,89
AVICOLA LAS TUNAS,2,Bancaribe,1,2,2,"1,225",88
TORONDOY,2,Bancaribe,1,3,2,811,83
Tesote Ventas,1,Bancaribe,1,2,1,788,69
INQUIPORT,1,Bancaribe,1,2,1,61,60
Grupo cashea,1,Bancaribe,1,3,2,638,57
"TAMAYO & CIA.,S.A.",2,Bancaribe,1,2,2,348,49
Protinal,12,Bancaribe,2,4,1,50,47
Yummy ,3,Bancaribe,3,6,3,550,28
FIVENCA,5,Bancaribe,3,3,3,116,27
Grupo Ama de casa,3,Bancaribe,1,1,1,145,13
Pharmakum,2,Bancaribe,1,2,1,28,8
Dimassi,1,Bancaribe,1,2,0,16,0
herramientas sbdk,1,Bancaribe,1,2,0,2,0
FLETY,2,Bancaribe,1,2,0,141,0
La Sante,1,Bancaribe,1,1,0,47,0
Curiara,1,Bancaribe,1,1,0,"3,123",0
